airtable_table,airtable_table_id,airtable_field,field_id_testing,field_id_production,in_testing,in_production,airtable_type,choices,labos_use,direction,labos_source,write_phase,status,delivery_state,owner,rule
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Specimen status,fldKhsUYTaQPKGtJL,fldKhsUYTaQPKGtJL,yes,yes,singleSelect,Pending | Received | In Testing | On Hold | Completed | Failed,ignore,IGNORED,-,n/a,DECIDED,BASELINE,Airtable,"Airtable-owned operational status. Read-only to LabOS. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Tests Protocols,fld1mVERdRpQ3XZch,fld1mVERdRpQ3XZch,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,Width (Inches),fldvm1NAoIGLrFbd0,fldvm1NAoIGLrFbd0,yes,yes,number,,ignore,IGNORED,-,n/a,DECIDED,BASELINE,Airtable,"Specimen context, finite positive inches when provided; not an automatic acceptance criterion. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Mock-Ups/Specimens,tblcrGv0WJn6FTTGO,record_id,,,no,no,-,,not-a-field,IN,projects.airtable_mockup_id,n/a,DECIDED,BASELINE,Airtable,"Airtable record metadata, not a schema field. Import/mirror identity is unique by base_id + record ID; display names never match identity."
Protocol Sections,tblqpvuJlSdkeS9PS,Applicability,fldh3VS09fonTLHsS,,yes,no,singleSelect,Required | Not Required | Unconfirmed,read,IN,at_mirror_sections.applicability,n/a,DECIDED,APPLIED,Airtable,"Required/Not Required/Unconfirmed. Blank=Unconfirmed, never infer from Value or historical Result. Only Required is executable."
Protocol Sections,tblqpvuJlSdkeS9PS,Excel File Link,fldj1vr7RnBRUJWEX,fldj1vr7RnBRUJWEX,yes,yes,url,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,IFET Job Number,fldfX6gGWvOLRDKWl,fldfX6gGWvOLRDKWl,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,IFET job number (from IFET Job Number),fldinuC7cfvh0VQDA,fldinuC7cfvh0VQDA,yes,yes,multipleLookupValues,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Impact Locations,,,no,no,number,,ignore,IGNORED,-,n/a,DECIDED,OMITTED,Airtable,"Still OMITTED 2026-09-08. Location is a per-shot observation LabOS records on shots.area, not a requirement; and a speculative field now propagates into production rather than sitting harmlessly in a sandbox. CONFIRMED by the PO 2026-09-10: 'That will not be shown on LabOS or Airtable. that is in the test plans.' No Airtable field and no required location on the operator's screen; shots.area, the observation of where an impact landed, is unaffected."
Protocol Sections,tblqpvuJlSdkeS9PS,Impact Velocity,fldJNfUVyqQEFOVWx,,yes,no,number,,ignore,IGNORED,-,n/a,DECIDED,DEPRECATED,Airtable,"WITHDRAWN from the read contract 2026-09-10. fldJNfUVyqQEFOVWx, left in place in Testing, never in production. The target velocity is LabOS-owned and operator-entered, published outbound as Target Impact Velocity; nothing derives it from the classification. at_mirror_sections.impact_velocity is no longer populated and the column is kept for the same later cleanup."
Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Attempt ID,fldngWweJSr09a7Kv,fldngWweJSr09a7Kv,yes,yes,singleLineText,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Report Link,fld8Hn9rHfJzJ2icU,fld8Hn9rHfJzJ2icU,yes,yes,url,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Retest Required,fldhLLbcY0R6yquQd,fldhLLbcY0R6yquQd,yes,yes,checkbox,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Latest LabOS Attempt Number,flduSq3FOqFDRCHhw,flduSq3FOqFDRCHhw,yes,yes,singleLineText,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Missile Type,fld5Bs0aQXXeVso2y,,yes,no,singleLineText,,ignore,IGNORED,-,n/a,DECIDED,DEPRECATED,Airtable,"WITHDRAWN from the read contract 2026-09-10. Applied to the Testing Base 2026-09-08 fld5Bs0aQXXeVso2y and DELIBERATELY LEFT IN PLACE - not deleted, not retyped; removal is a later coordinated cleanup with the Airtable team. LabOS no longer reads it: absent from mirror.SECTION_FIELDS, absent from requirements.snapshot, and importer.bind no longer pre-fills missile_impact_tests.missile from it. Superseded by the LabOS-owned Impact Classification, published outbound. Never created in production and guarded by preflight.DEPRECATED_TESTING_ONLY."
Protocol Sections,tblqpvuJlSdkeS9PS,Missile Weight,fldmhdhonyyLcx4Ex,,yes,no,number,,ignore,IGNORED,-,n/a,DECIDED,DEPRECATED,Airtable,"WITHDRAWN from the read contract 2026-09-10. fldmhdhonyyLcx4Ex, left in place in Testing, never in production. Mass is a property of the classification, not a separate requirement. missile_impact_tests.missile_weight survives as a local history column and is not published."
Protocol Sections,tblqpvuJlSdkeS9PS,Mock-Up,fldPcxq0oUsXOO7oB,fldPcxq0oUsXOO7oB,yes,yes,multipleLookupValues,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Notes,fldLANILDFNozGRrq,fldLANILDFNozGRrq,yes,yes,multilineText,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Protocol Name (from Test Protocol),fldCrJvBmIWh4W7TR,fldCrJvBmIWh4W7TR,yes,yes,multipleLookupValues,,ignore,,,,,,,
Protocol Sections,tblqpvuJlSdkeS9PS,Required Option,fldflOxCkAK1BkU9l,,yes,no,singleLineText,,read,IN,manual_tests.required_option,n/a,DECIDED,APPLIED,Airtable,"READ. The named grade or class a pass/fail test is judged against - 'ASTM F588 Grade 40' for Forced Entry, 'Class A' for ANSI Z97.1, 'Full' for the static programme. Free text, so an unrecognised option is displayed and non-executable, never guessed."
Protocol Sections,tblqpvuJlSdkeS9PS,Required Unit,fldTjNKeQe7oxxl33,,yes,no,singleSelect,PSF | in | s | cycles | impacts,read,IN,(validation),n/a,DECIDED,APPLIED,Airtable,READ for validation only. PSF/in/s/cycles/impacts. LabOS refuses a value whose unit does not match the requirement kind rather than assuming PSF.
Protocol Sections,tblqpvuJlSdkeS9PS,Required Value,fldpL2dyGzKj9xowY,,yes,no,number,,read,IN,projects.gauge_count / projects.impact_count,n/a,DECIDED,APPLIED,Airtable,"READ. The scalar for Count and Magnitude kinds - gauge count via GAUGE_COUNT, impact count via IMPACT_LMI/IMPACT_SMI. Blank is not zero: a missing requirement is absent, never 0."
Protocol Sections,tblqpvuJlSdkeS9PS,Required Value Inward,fld1wR9ojdmESax0m,,yes,no,number,,read,IN,projects.inward_design_pressure,n/a,DECIDED,APPLIED,Airtable,"READ, and the single most load-bearing field in the integration. LabOS derives all 14 stages from the pair - 6 static factors [0.75,0.75,1,1,1.5,1.5] and 8 cyclic high/low factors with fixed cycle counts. Independent positive PSF magnitude; never copied from outward."
Protocol Sections,tblqpvuJlSdkeS9PS,Required Value Outward,fld7GLStvnPnYJPpd,,yes,no,number,,read,IN,projects.outward_design_pressure,n/a,DECIDED,APPLIED,Airtable,READ. The other half of the pair. Independent of inward and never copied from it - a transposition would be individually plausible and silently wrong.
Protocol Sections,tblqpvuJlSdkeS9PS,Requirement Code,fld9Fzjj25ngrVIOB,,yes,no,singleSelect,STATIC_PRESSURE | CYCLIC_PRESSURE | IMPACT_LMI | IMPACT_SMI | FORCED_ENTRY | ANSI_IMPACT | GAUGE_COUNT | STATIC_PROGRAMME | WATER_PRESSURE,read,IN,at_mirror_sections.requirement_code,n/a,DECIDED,APPLIED,Airtable,STATIC_PRESSURE/CYCLIC_PRESSURE/IMPACT_LMI/IMPACT_SMI/FORCED_ENTRY/ANSI_IMPACT/GAUGE_COUNT/STATIC_PROGRAMME/WATER_PRESSURE. Water visible but unsupported; names are labels.
Protocol Sections,tblqpvuJlSdkeS9PS,Requirement Kind,fldWGpL9gJh89wSK8,,yes,no,singleSelect,Magnitude | Directional Pair | Count | Enum | Not Applicable,read,IN,(interpretation),n/a,DECIDED,APPLIED,Airtable,READ. Says how to interpret the requirement: Magnitude / Directional Pair / Count / Enum / Not Applicable. LabOS refuses a kind it does not support rather than guessing.
Protocol Sections,tblqpvuJlSdkeS9PS,Result,fld9AO8n6OosZ80mW,fld9AO8n6OosZ80mW,yes,yes,singleSelect,Passed | Failed | Pending | Not Applicable | Inconclusive,ignore,IGNORED,-,n/a,DECIDED,BASELINE,Airtable,"Airtable-owned read-only operational projection. Historical values are not inferred as LabOS verdicts. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Protocol Sections,tblqpvuJlSdkeS9PS,Section Name,fldN0th87JyevlzgU,fldN0th87JyevlzgU,yes,yes,singleLineText,,read,IN,at_mirror_sections.section_name,n/a,DECIDED,BASELINE,Airtable,Display only. Requirement Code selects supported semantics; unknown codes remain non-executable.
Protocol Sections,tblqpvuJlSdkeS9PS,Status,fldeprjn5dCWBhT0G,fldeprjn5dCWBhT0G,yes,yes,singleSelect,Not Started | In Progress | Completed | Aborted,ignore,IGNORED,-,n/a,DECIDED,BASELINE,Airtable,"Airtable-owned. Read-only to LabOS. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Protocol Sections,tblqpvuJlSdkeS9PS,Test Protocol,fld3EtgBWkjqAXHGp,fld3EtgBWkjqAXHGp,yes,yes,multipleRecordLinks,,read,IN,at_mirror_sections.protocol_record_id,n/a,DECIDED,BASELINE,Airtable,RELATIONSHIP section->protocol. Repeats by design.
Protocol Sections,tblqpvuJlSdkeS9PS,Testing Date,fldj3JimASOrUTrCu,fldj3JimASOrUTrCu,yes,yes,date,,ignore,IGNORED,-,n/a,DECIDED,BASELINE,Airtable,"READ ONLY. Airtable automation derives completion date in America/New_York; LabOS never writes it. LabOS executes standalone, so this is not read: the operator sets the test up in LabOS as today and no Airtable value reaches a rig. Field retained in both bases. Decision A9, 2026-09-06."
Protocol Sections,tblqpvuJlSdkeS9PS,Value,fld1YDj3d2UilU7m6,fld1YDj3d2UilU7m6,yes,yes,singleLineText,,ignore,IGNORED,-,n/a,DECIDED,BASELINE,Airtable,"NEVER PARSED, and this is the safety boundary of the whole design. This is the field IFET's PDF extractor writes, and it drops blank cells, so a +60/60 requirement can arrive as 9. LabOS reads the typed fields beside it instead, so no shifted value can reach a rig. Preserved verbatim for display and human reconciliation only."
Protocol Sections,tblqpvuJlSdkeS9PS,record_id,,,no,no,-,,not-a-field,IN,at_mirror_sections.record_id,n/a,DECIDED,BASELINE,Airtable,"Airtable record metadata, not a schema field. Import/mirror identity is unique by base_id + record ID; display names never match identity."
Tests Protocols,tblutO1Q8TNC4BLk0,IFET Job Number,fldPJdoEbIJeHbOu8,fldPJdoEbIJeHbOu8,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Tests Protocols,tblutO1Q8TNC4BLk0,IFET job number (from IFET Job Number),fldrc9ywdmheoiCqK,fldrc9ywdmheoiCqK,yes,yes,multipleLookupValues,,ignore,,,,,,,
Tests Protocols,tblutO1Q8TNC4BLk0,Mock-Up,fldSzN0fPvbWyOgPu,fldSzN0fPvbWyOgPu,yes,yes,multipleRecordLinks,,read,IN,at_mirror_protocols.specimen_record_id,n/a,DECIDED,BASELINE,Airtable,RELATIONSHIP protocol->specimen. Repeats by design.
Tests Protocols,tblutO1Q8TNC4BLk0,Mock-up/specimen name (from Mock-Up),fldAP0DzS2zmweb3j,fldAP0DzS2zmweb3j,yes,yes,multipleLookupValues,,ignore,,,,,,,
Tests Protocols,tblutO1Q8TNC4BLk0,Protocol Name,fldvf05KHbDSMjLrw,fldvf05KHbDSMjLrw,yes,yes,singleLineText,,read,IN,at_mirror_protocols.protocol_name,n/a,DECIDED,BASELINE,Airtable,TAS-201 / TAS-202 / TAS-203 / ANSI Z97.1 observed live. Does NOT determine test type - the section does.
Tests Protocols,tblutO1Q8TNC4BLk0,Protocol Result,fld8rkYR4giE8bPAF,fld8rkYR4giE8bPAF,yes,yes,singleSelect,Pending | Passed | Failed | Inconclusive,ignore,,,,,,,
Tests Protocols,tblutO1Q8TNC4BLk0,Protocol Sections,fldw0brNFYcSxEs1l,fldw0brNFYcSxEs1l,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Tests Protocols,tblutO1Q8TNC4BLk0,Protocol Status,fldp0RHXHpPY8IOhv,fldp0RHXHpPY8IOhv,yes,yes,singleSelect,Not Started | In Progress | Completed | Aborted,ignore,,,,,,,
Tests Protocols,tblutO1Q8TNC4BLk0,record_id,,,no,no,-,,not-a-field,IN,at_mirror_protocols.record_id,n/a,DECIDED,BASELINE,Airtable,"Airtable record metadata, not a schema field. Import/mirror identity is unique by base_id + record ID; display names never match identity."
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Available Capacity After This Reservation,fldwk4GHVc1E1zPIb,fldwk4GHVc1E1zPIb,yes,yes,number,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Capacity Check Result,fldraitHCrWTKBGr5,fldraitHCrWTKBGr5,yes,yes,singleSelect,Pending Check | Capacity Available | Capacity Exceeded | Position Conflict | Future Position,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Conflict Warning,fldNB1OS7Wuha8NLf,fldNB1OS7Wuha8NLf,yes,yes,singleSelect,Clear | Conflict | Capacity Exceeded | Future Position | Invalid Date | Missing Wall Position | Position Count Mismatch | Not Checked,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Current Occupied Positions,fld7yYZz4JwCsmxY4,fld7yYZz4JwCsmxY4,yes,yes,count,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,End Date,fldbXwmiUyA8PUAgG,fldbXwmiUyA8PUAgG,yes,yes,date,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,IFET Job Number,fld0YyFODhnF5gmtY,fld0YyFODhnF5gmtY,yes,yes,multipleLookupValues,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Mock-Up,fldNvwpbflPlembbT,fldNvwpbflPlembbT,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Mock-up/specimen name (from Mock-Up),fldCPWi4kYd7NzYWJ,fldCPWi4kYd7NzYWJ,yes,yes,multipleLookupValues,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Positions Assigned,fldIjN3nxF8B4bLJx,fldIjN3nxF8B4bLJx,yes,yes,count,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Project,fldbO694B3yA4RIhy,fldbO694B3yA4RIhy,yes,yes,multipleLookupValues,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Project Name,fldoNc8tXaa6KekoJ,fldoNc8tXaa6KekoJ,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Reservation Checked At,fldQaYQuVpI6yMeBf,fldQaYQuVpI6yMeBf,yes,yes,dateTime,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Reservation Checking,fldhscZboTjDswUGL,fldhscZboTjDswUGL,yes,yes,formula,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Reservation Name,fldL38il8qUTtoMkL,fldL38il8qUTtoMkL,yes,yes,singleLineText,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Reservation Status,fldm0l6xAKb5wUYWJ,fldm0l6xAKb5wUYWJ,yes,yes,singleSelect,Needs Scheduling | Waiting | Reserved | Occupied | Completed | Cancelled,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Scheduling Input Modified Time,fldVjLmsq5cj6N34x,fldVjLmsq5cj6N34x,yes,yes,lastModifiedTime,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Start Date,fldH3ACJSgq3k3YCE,fldH3ACJSgq3k3YCE,yes,yes,date,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Wall Position Name (from Wall Positions),fld5mIZ3QBilKLt1c,fld5mIZ3QBilKLt1c,yes,yes,multipleLookupValues,,ignore,,,,,,,
Wall Scheduling/Reservation,tblYjF1AApzmRDMrY,Wall Positions,fld5E3ivwMXqNpArs,fld5E3ivwMXqNpArs,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Current Project,fldCrTrHgrmhPdNdQ,fldCrTrHgrmhPdNdQ,yes,yes,multipleLookupValues,,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Current Status,fldwZeJJ7B9sQOtSH,fldwZeJJ7B9sQOtSH,yes,yes,singleSelect,Available | Reserved | Occupied | Future,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Expected Release Date,fldjZogVGQS0UKPmo,fldjZogVGQS0UKPmo,yes,yes,multipleLookupValues,,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Expected Start Date,fldC6jpCTaezAhwY8,fldC6jpCTaezAhwY8,yes,yes,multipleLookupValues,,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Position Name,fldOaxd9jFxjU3w3i,fldOaxd9jFxjU3w3i,yes,yes,singleLineText,,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Wall Name,fldNUjjfUnfQlsAqp,fldNUjjfUnfQlsAqp,yes,yes,singleLineText,,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Wall Position Name,fld4pZcBC8Ig1T5zu,fld4pZcBC8Ig1T5zu,yes,yes,formula,,ignore,,,,,,,
Walls & Positions,tblVUvcSPAoneG26W,Wall Scheduling/Reservation,fldaAoya2sxOCJIee,fldaAoya2sxOCJIee,yes,yes,multipleRecordLinks,,ignore,,,,,,,
