table_id,table_name,field_position,field_id,field_name,field_type,description,choices,linked_table_id,options_json
tblVUvcSPAoneG26W,Walls & Positions,3,fldwZeJJ7B9sQOtSH,Current Status,singleSelect,"Current availability of the wall position, such as Available, Reserved, Occupied, or Future.",Available | Reserved | Occupied | Future,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""seligQi2P7PrwLCLR"", ""name"": ""Available""}, {""color"": ""cyanLight2"", ""id"": ""seljKAye4YVv80exO"", ""name"": ""Reserved""}, {""color"": ""tealLight2"", ""id"": ""selGTS3ZGco3PcHrO"", ""name"": ""Occupied""}, {""color"": ""greenLight2"", ""id"": ""selZYd15TZlXTflgP"", ""name"": ""Future""}]}"
tblVUvcSPAoneG26W,Walls & Positions,4,fldaAoya2sxOCJIee,Wall Scheduling/Reservation,multipleRecordLinks,,,tblYjF1AApzmRDMrY,"{""inverseLinkFieldId"": ""fld5E3ivwMXqNpArs"", ""isReversed"": false, ""linkedTableId"": ""tblYjF1AApzmRDMrY"", ""prefersSingleRecordLink"": false}"
tblVUvcSPAoneG26W,Walls & Positions,5,fldCrTrHgrmhPdNdQ,Current Project,multipleLookupValues,Project currently associated with this wall position.,,,"{""fieldIdInLinkedTable"": ""fldbO694B3yA4RIhy"", ""isValid"": true, ""recordLinkFieldId"": ""fldaAoya2sxOCJIee"", ""result"": {""type"": ""singleLineText""}}"
tblVUvcSPAoneG26W,Walls & Positions,6,fldC6jpCTaezAhwY8,Expected Start Date,multipleLookupValues,Expected date when the linked reservation begins using this position.,,,"{""fieldIdInLinkedTable"": ""fldH3ACJSgq3k3YCE"", ""isValid"": true, ""recordLinkFieldId"": ""fldaAoya2sxOCJIee"", ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}}, ""type"": ""date""}}"
tblVUvcSPAoneG26W,Walls & Positions,7,fldjZogVGQS0UKPmo,Expected Release Date,multipleLookupValues,Expected date when the position becomes available again.,,,"{""fieldIdInLinkedTable"": ""fldbXwmiUyA8PUAgG"", ""isValid"": true, ""recordLinkFieldId"": ""fldaAoya2sxOCJIee"", ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}}, ""type"": ""date""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,0,fldL38il8qUTtoMkL,Reservation Name,singleLineText,Unique name identifying the wall reservation.,,,
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,1,fld5E3ivwMXqNpArs,Wall Positions,multipleRecordLinks,Wall position or positions requested for the reservation.,,tblVUvcSPAoneG26W,"{""inverseLinkFieldId"": ""fldaAoya2sxOCJIee"", ""isReversed"": false, ""linkedTableId"": ""tblVUvcSPAoneG26W"", ""prefersSingleRecordLink"": false}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,2,fldbO694B3yA4RIhy,Project,multipleLookupValues,Project associated with the reservation.,,,"{""fieldIdInLinkedTable"": ""fldXOI9t0N8oP4FLy"", ""isValid"": true, ""recordLinkFieldId"": ""fldoNc8tXaa6KekoJ"", ""result"": {""type"": ""singleLineText""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,3,fldH3ACJSgq3k3YCE,Start Date,date,Planned reservation start date.,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,4,fldbXwmiUyA8PUAgG,End Date,date,Planned reservation end/release date.,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,5,fldhscZboTjDswUGL,Reservation Checking,formula,"Shows whether reservation validation is Not Checked, currently being checked, or completed.",,,"{""formula"": ""IF(\r\n  OR(\r\n    {fldIjN3nxF8B4bLJx} = 0,\r\n    NOT({fldH3ACJSgq3k3YCE}),\r\n    NOT({fldbXwmiUyA8PUAgG})\r\n  ),\r\n  \""\u26aa Not Checked\"",\r\n  IF(\r\n    OR(\r\n      NOT({fldQaYQuVpI6yMeBf}),\r\n      IS_AFTER(\r\n        {fldVjLmsq5cj6N34x},\r\n        {fldQaYQuVpI6yMeBf}\r\n      )\r\n    ),\r\n    \""\ud83d\udfe1 Checking Reservation . . .\"",\r\n    \""\ud83d\udfe2 Check Completed\""\r\n  )\r\n)"", ""isValid"": true, ""referencedFieldIds"": [""fldIjN3nxF8B4bLJx"", ""fldH3ACJSgq3k3YCE"", ""fldbXwmiUyA8PUAgG"", ""fldQaYQuVpI6yMeBf"", ""fldVjLmsq5cj6N34x""], ""result"": {""type"": ""singleLineText""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,6,fldm0l6xAKb5wUYWJ,Reservation Status,singleSelect,Current reservation lifecycle status. This is managed automatically according to reservation validation results.,Needs Scheduling | Waiting | Reserved | Occupied | Completed | Cancelled,,"{""choices"": [{""color"": ""grayLight1"", ""id"": ""selQisTVAUxpPMwSV"", ""name"": ""Needs Scheduling""}, {""color"": ""yellowLight1"", ""id"": ""selZYvBnY7fyrkWNk"", ""name"": ""Waiting""}, {""color"": ""blueLight1"", ""id"": ""selvEZ0ofjEBmc5Pe"", ""name"": ""Reserved""}, {""color"": ""cyanLight1"", ""id"": ""selpPKMluIH7cd8z2"", ""name"": ""Occupied""}, {""color"": ""greenLight1"", ""id"": ""selKg0Zo99DaUPqwQ"", ""name"": ""Completed""}, {""color"": ""redBright"", ""id"": ""selnzy3GAl6BE2Cf7"", ""name"": ""Cancelled""}]}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,7,fldNB1OS7Wuha8NLf,Conflict Warning,singleSelect,"Displays any scheduling, position, capacity, or date conflict found during reservation validation.",Clear | Conflict | Capacity Exceeded | Future Position | Invalid Date | Missing Wall Position | Position Count Mismatch | Not Checked,,"{""choices"": [{""color"": ""greenLight1"", ""id"": ""selb0kUMr380R0tJS"", ""name"": ""Clear""}, {""color"": ""orangeBright"", ""id"": ""selSktMCSlH6Td0TU"", ""name"": ""Conflict""}, {""color"": ""orangeLight1"", ""id"": ""selH0IbPFgwXhhQAN"", ""name"": ""Capacity Exceeded""}, {""color"": ""blueLight2"", ""id"": ""selwuL41vRbVlbZXn"", ""name"": ""Future Position""}, {""color"": ""orangeLight1"", ""id"": ""selTyoRy874bGVMsu"", ""name"": ""Invalid Date""}, {""color"": ""tealLight1"", ""id"": ""selzBaYe3EBw9R3uR"", ""name"": ""Missing Wall Position""}, {""color"": ""redLight2"", ""id"": ""sel9Wa4fWUL1BAEwQ"", ""name"": ""Position Count Mismatch""}, {""color"": ""grayLight1"", ""id"": ""selHCKljaPQaZHKLG"", ""name"": ""Not Checked""}]}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,8,fldraitHCrWTKBGr5,Capacity Check Result,singleSelect,Result of the wall-capacity validation.,Pending Check | Capacity Available | Capacity Exceeded | Position Conflict | Future Position,,"{""choices"": [{""color"": ""yellowLight1"", ""id"": ""sel6pSZQTqcDrn1Ah"", ""name"": ""Pending Check""}, {""color"": ""greenLight1"", ""id"": ""seldA39GTqPS1RFDW"", ""name"": ""Capacity Available""}, {""color"": ""orangeLight1"", ""id"": ""seleJsrozr0RDk4US"", ""name"": ""Capacity Exceeded""}, {""color"": ""orangeBright"", ""id"": ""seliBpNNTssZhE7YE"", ""name"": ""Position Conflict""}, {""color"": ""tealLight1"", ""id"": ""sel2cxtVkRHYoeThR"", ""name"": ""Future Position""}]}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,9,fldIjN3nxF8B4bLJx,Positions Assigned,count,Number of wall positions assigned to this reservation.,,,"{""isValid"": true, ""recordLinkFieldId"": ""fld5E3ivwMXqNpArs""}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,10,fld7yYZz4JwCsmxY4,Current Occupied Positions,count,Number of positions already occupied by other overlapping reservations,,,"{""isValid"": true, ""recordLinkFieldId"": ""fld5E3ivwMXqNpArs""}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,11,fldwk4GHVc1E1zPIb,Available Capacity After This Reservation,number,Remaining available wall capacity if this reservation is accepted.,,,"{""precision"": 0}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,12,fldNvwpbflPlembbT,Mock-Up,multipleRecordLinks,,,tblcrGv0WJn6FTTGO,"{""inverseLinkFieldId"": ""fld0QsYC3mAFS3JQ6"", ""isReversed"": false, ""linkedTableId"": ""tblcrGv0WJn6FTTGO"", ""prefersSingleRecordLink"": true}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,13,fldVjLmsq5cj6N34x,Scheduling Input Modified Time,lastModifiedTime,,,,"{""isValid"": true, ""referencedFieldIds"": [""fld5E3ivwMXqNpArs"", ""fldH3ACJSgq3k3YCE"", ""fldbXwmiUyA8PUAgG""], ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""h:mma"", ""name"": ""12hour""}, ""timeZone"": ""client""}, ""type"": ""dateTime""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,14,fldQaYQuVpI6yMeBf,Reservation Checked At,dateTime,,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""HH:mm"", ""name"": ""24hour""}, ""timeZone"": ""client""}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,15,fld0YyFODhnF5gmtY,IFET Job Number,multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldZa91p5KebdT6q2"", ""isValid"": true, ""recordLinkFieldId"": ""fldoNc8tXaa6KekoJ"", ""result"": {""type"": ""singleLineText""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,16,fld5mIZ3QBilKLt1c,Wall Position Name (from Wall Positions),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fld4pZcBC8Ig1T5zu"", ""isValid"": true, ""recordLinkFieldId"": ""fld5E3ivwMXqNpArs"", ""result"": {""type"": ""singleLineText""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,17,fldCPWi4kYd7NzYWJ,Mock-up/specimen name (from Mock-Up),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldyprpxI76d6CIxo"", ""isValid"": true, ""recordLinkFieldId"": ""fldNvwpbflPlembbT"", ""result"": {""type"": ""singleLineText""}}"
tblYjF1AApzmRDMrY,Wall Scheduling/Reservation,18,fldoNc8tXaa6KekoJ,Project Name,multipleRecordLinks,,,tblLYcRC7q6Srjfk3,"{""inverseLinkFieldId"": ""fldaYynjl8ptNVzXS"", ""isReversed"": false, ""linkedTableId"": ""tblLYcRC7q6Srjfk3"", ""prefersSingleRecordLink"": true}"
tbl0f2YxS3FHJ1dTD,Back Charges,0,fldE3z03ghSFNjXzO,Back Charge Name,formula,"Concatenates the IFET job number lookup (as string) and Charge Type, separated by a pipe.",,,"{""formula"": ""{fldcTkX1jo4kOyU0P} & \"" - \"" & {fldjXiyArEKsYJBju}"", ""isValid"": true, ""referencedFieldIds"": [""fldcTkX1jo4kOyU0P"", ""fldjXiyArEKsYJBju""], ""result"": {""type"": ""singleLineText""}}"
tbl0f2YxS3FHJ1dTD,Back Charges,1,fldcTkX1jo4kOyU0P,IFET Job Number,multipleRecordLinks,Project to which the back charge belongs.,,tblLYcRC7q6Srjfk3,"{""inverseLinkFieldId"": ""fldHVvyKTR1AZA36C"", ""isReversed"": false, ""linkedTableId"": ""tblLYcRC7q6Srjfk3"", ""prefersSingleRecordLink"": true}"
tbl0f2YxS3FHJ1dTD,Back Charges,2,fldjXiyArEKsYJBju,Charge Type,singleSelect,"Category of additional charge, such as Materials, Equipment Rental, Delivery, Labor, Retest, Storage, or Other.",Materials | Equipment Rental | Delivery | Labor | Retest | Storage | Other,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""selHMXtaxddEmHa36"", ""name"": ""Materials""}, {""color"": ""cyanLight2"", ""id"": ""selw8pP0KaYxZCbXf"", ""name"": ""Equipment Rental""}, {""color"": ""tealLight2"", ""id"": ""selBGJkZe7AgG4iRZ"", ""name"": ""Delivery""}, {""color"": ""greenLight2"", ""id"": ""selDDaEQMl47ebf7D"", ""name"": ""Labor""}, {""color"": ""yellowLight2"", ""id"": ""sel7TkV0usMWFRI6d"", ""name"": ""Retest""}, {""color"": ""orangeLight2"", ""id"": ""selXosUJ3QMajFtoJ"", ""name"": ""Storage""}, {""color"": ""redLight2"", ""id"": ""selylPyNQzk5i80OK"", ""name"": ""Other""}]}"
tbl0f2YxS3FHJ1dTD,Back Charges,3,fldfndhdC4ofYXQPz,Approval Status,singleSelect,Approval status of the back charge. Only approved charges can be included in the final invoice.,Pending | Approved | Rejected | Needs Info,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""seleD0ZIxkMXHQTHi"", ""name"": ""Pending""}, {""color"": ""cyanLight2"", ""id"": ""sel43hBqoB2KVw6j3"", ""name"": ""Approved""}, {""color"": ""tealLight2"", ""id"": ""selKTQQ53TR7fnZpX"", ""name"": ""Rejected""}, {""color"": ""greenLight2"", ""id"": ""selIRP2ItvPUEz12w"", ""name"": ""Needs Info""}]}"
tbl0f2YxS3FHJ1dTD,Back Charges,4,fldlI36CjI7knVABZ,Description,multilineText,Details explaining the additional charge.,,,
tbl0f2YxS3FHJ1dTD,Back Charges,5,fld62eDADnlh3evUX,Vendor,singleLineText,Vendor or supplier associated with the expense.,,,
tbl0f2YxS3FHJ1dTD,Back Charges,6,fldLa3GEhUqHeQJJH,Date Incurred,date,Date when the additional cost was incurred.,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}}"
tbl0f2YxS3FHJ1dTD,Back Charges,7,fldvFuWbhl4oJazCk,Internal Cost,currency,Actual internal cost paid or incurred by IFET.,,,"{""precision"": 2, ""symbol"": ""$""}"
tbl0f2YxS3FHJ1dTD,Back Charges,8,fldHVsz04mW0tRnWP,Markup %,percent,Markup percentage applied to the internal cost.,,,"{""precision"": 0}"
tbl0f2YxS3FHJ1dTD,Back Charges,9,fldilEtoCaxRkonpE,Billable Amount,formula,Final customer-billable amount calculated from internal cost and markup.,,,"{""formula"": ""{fldvFuWbhl4oJazCk} * (1 + ({fldHVsz04mW0tRnWP}))"", ""isValid"": true, ""referencedFieldIds"": [""fldvFuWbhl4oJazCk"", ""fldHVsz04mW0tRnWP""], ""result"": {""options"": {""precision"": 0}, ""type"": ""number""}}"
tbl0f2YxS3FHJ1dTD,Back Charges,10,fldODHRjWytwEQXv3,Receipt / Vendor Invoice,url,Link to the supporting vendor receipt or invoice.,,,
tbl0f2YxS3FHJ1dTD,Back Charges,11,fldz8k7GsgoakBlnh,Approved By,singleLineText,Name of the person who approved the back charge.,,,
tbl0f2YxS3FHJ1dTD,Back Charges,12,fldiLBGNgNhIMxrSh,QuickBooks Invoice Number,multipleLookupValues,Final QuickBooks invoice containing this back charge.,,,"{""fieldIdInLinkedTable"": ""fldCY1r37TzUNlqxd"", ""isValid"": true, ""recordLinkFieldId"": ""fldcTkX1jo4kOyU0P"", ""result"": {""type"": ""singleLineText""}}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,0,fldDu6er95KG2pOrG,LabOS Attempt ID,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,1,fldQWGjD0gQ4WwPbh,LabOS Test ID,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,2,fldyQpMOaSdWzO7xR,Attempt Number,number,,,,"{""precision"": 0}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,3,fldB8gHb2a5guxm7g,Schema Version,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,4,fldgIIL715TrhyvKE,Airtable Project ID,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,5,fldV0IzvUSnmlVKC3,Airtable Mockup ID,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,6,fldVPHPXqlPGnBUSB,Airtable Protocol ID,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,7,fld0dex9BWVQzgRLS,Airtable Section ID,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,8,fldu6lraAAKIAXIRQ,Test Type,singleSelect,,Static Load | Cycles | Impact | Forced Entry | ANSI Z97.1,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""selmQnxPWVh8MErT4"", ""name"": ""Static Load""}, {""color"": ""cyanLight2"", ""id"": ""sely3Pk9zHvUutuyc"", ""name"": ""Cycles""}, {""color"": ""tealLight2"", ""id"": ""sel5Q00D9PLj2CXeS"", ""name"": ""Impact""}, {""color"": ""greenLight2"", ""id"": ""seltzXQuaxqy7Y4HC"", ""name"": ""Forced Entry""}, {""color"": ""yellowLight2"", ""id"": ""selvAiYSE8ybrFHxw"", ""name"": ""ANSI Z97.1""}]}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,9,fldQ7u9PGz7S8Ngdb,Test Status,singleSelect,,Not Started | In Progress | Completed | Abborted,,"{""choices"": [{""color"": ""cyanLight2"", ""id"": ""selkeJwim3weriF1B"", ""name"": ""Not Started""}, {""color"": ""tealLight2"", ""id"": ""sel7NTD89eghJsp4r"", ""name"": ""In Progress""}, {""color"": ""blueLight2"", ""id"": ""selo6wJSVeav00GFJ"", ""name"": ""Completed""}, {""color"": ""greenLight2"", ""id"": ""selUhoRJwAThsdC8w"", ""name"": ""Abborted""}]}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,10,fldAYKt62KMn9q7E6,Test Result,singleSelect,,Pending | Passed | Failed | Not Applicable | Inconclusive,,"{""choices"": [{""color"": ""tealLight2"", ""id"": ""selDDbti4PjVMGvEX"", ""name"": ""Pending""}, {""color"": ""blueLight2"", ""id"": ""sel2Ho0nEz8MnQZQe"", ""name"": ""Passed""}, {""color"": ""cyanLight2"", ""id"": ""selvAnEJlU0GrgKu8"", ""name"": ""Failed""}, {""color"": ""greenLight2"", ""id"": ""sel3jnSZwGc2PC7AY"", ""name"": ""Not Applicable""}, {""color"": ""yellowLight2"", ""id"": ""selNbhiIjBxlbhopX"", ""name"": ""Inconclusive""}]}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,11,fld4hqC9SIQ9ll8mp,Test Date,dateTime,,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""HH:mm"", ""name"": ""24hour""}, ""timeZone"": ""client""}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,12,fldNHIHKq4xPvYhzX,Operator Name,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,13,fldBDTojy4Qk3LssD,Retest Required,checkbox,,,,"{""color"": ""greenBright"", ""icon"": ""check""}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,14,fldCjb00kloRr9pGj,Testing Continued,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,15,fld0kER3p3ogmmP2L,Measured Value,number,,,,"{""precision"": 1}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,16,fld05iOwDiDtXA7b5,Unit,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,17,fldDZkfaE2T4bFZ8C,Max Pressure Achieved,number,,,,"{""precision"": 1}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,18,fldg21XOFDAKWvUZx,Deflection Value,number,,,,"{""precision"": 1}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,19,fldvZMcxhm9R9Lzg7,Deflection Unit,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,20,fldrrmBxxwfIOrXEa,Correction Reason,multilineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,21,flda24C2M2tWyXEdb,Impact Result,singleLineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,22,fldeG1iA6TVWOSi0T,Complete LabOS JSON Response,multilineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,23,fldH5IvnQ0rL1xQRm,Notes,multilineText,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,24,fld01SK9bnkTd9s29,Photos,url,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,25,fldQAF1pExVQ9Xe6O,Excel File Link,url,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,26,fldfewhrzgMnmAmU3,LabOS Report Link,url,,,,
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,27,fldJYqMAdKP7v0zCU,LabOS Created At,dateTime,,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""HH:mm"", ""name"": ""24hour""}, ""timeZone"": ""client""}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,28,fldmqwik5SKFHRVqd,LabOS Updated At,dateTime,,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""HH:mm"", ""name"": ""24hour""}, ""timeZone"": ""client""}"
tblnc9SsbXU0C0FWh,LabOS Raw Data Table,29,fldKxp708fktN57aH,Raw Modified Time,lastModifiedTime,,,,"{""isValid"": true, ""referencedFieldIds"": [""fldQ7u9PGz7S8Ngdb""], ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""h:mma"", ""name"": ""12hour""}, ""timeZone"": ""client""}, ""type"": ""dateTime""}}"
